time_s,radius_m,max_C,max_radius_m,mean_C,T_surface_C,C_surface,T_r0.0cm_C,T_r0.1cm_C,T_r0.2cm_C,T_r0.3cm_C,T_r0.4cm_C,T_r0.5cm_C,T_r0.6cm_C,T_r0.7cm_C,T_r0.8cm_C,T_r0.9cm_C,T_r1.0cm_C,T_r1.1cm_C,T_r1.2cm_C,T_r1.3cm_C,T_r1.4cm_C,T_r1.5cm_C,T_r1.6cm_C,T_r1.7cm_C,T_r1.8cm_C,T_r1.9cm_C,T_r2.0cm_C,C_r0.0cm,C_r0.1cm,C_r0.2cm,C_r0.3cm,C_r0.4cm,C_r0.5cm,C_r0.6cm,C_r0.7cm,C_r0.8cm,C_r0.9cm,C_r1.0cm,C_r1.1cm,C_r1.2cm,C_r1.3cm,C_r1.4cm,C_r1.5cm,C_r1.6cm,C_r1.7cm,C_r1.8cm,C_r1.9cm,C_r2.0cm
36180,0.012723,0.95130978460023352,0,0.60347789222410042,49.998934426219563,0.22258869324821576,49.998934426216991,49.998934426217005,49.998934426217041,49.998934426217062,49.998934426217119,49.998934426217247,49.998934426217438,49.998934426217694,49.998934426218021,49.998934426218348,49.998934426218632,49.998934426218803,49.998934426219044,,,,,,,,,0.95130978460023352,0.94688165582708028,0.93363285031010845,0.91166731818346425,0.88114858256366602,0.84228348699127675,0.79529528072462796,0.74037925257430337,0.6776258289147078,0.60687429435091811,0.52739332443786069,0.4370241945321518,0.32891471822708168,,,,,,,,
36240,0.012720666666666667,0.94913133658185367,0,0.60217758610562577,49.998934426217772,0.222017471520884,49.998934426217254,49.998934426217268,49.998934426217325,49.998934426217389,49.998934426217517,49.998934426217637,49.998934426217801,49.998934426217922,49.998934426217993,49.998934426217929,49.998934426217616,49.998934426217176,49.998934426217033,,,,,,,,,0.94913133658185367,0.94471387805558626,0.93149693011846002,0.90958398560100817,0.87913781217017273,0.84036420756574837,0.79348508948511298,0.73869411882256664,0.67607974118042236,0.60547871446306478,0.52615598485513593,0.43594520912202683,0.32796567818357997,,,,,,,,
36300,0.012718333333333333,0.94695971260301792,0,0.60088134633785173,49.998934426221361,0.22144794827132849,49.998934426217538,49.998934426217531,49.998934426217566,49.998934426217623,49.998934426217644,49.998934426217673,49.998934426217737,49.998934426217843,49.998934426218014,49.998934426218334,49.998934426218881,49.998934426219655,49.998934426220622,,,,,,,,,0.94695971260301792,0.94255289238150675,0.92936770668975099,0.90750719252108925,0.87713336449768708,0.83845097782266242,0.79168062263647421,0.7370143365621239,0.67453858976147807,0.60408761966970592,0.52492264942074884,0.43486970712186518,0.32701938832822564,,,,,,,,
36360,0.012716,0.94479489049334653,0,0.59958916149321018,49.998934426218916,0.22088014780642798,49.998934426217694,49.998934426217687,49.99893442621773,49.99893442621778,49.998934426217879,49.998934426217986,49.998934426218156,49.998934426218362,49.998934426218632,49.998934426218874,49.998934426219122,49.998934426219257,49.998934426219137,,,,,,,,,0.94479489049334642,0.94039867673055566,0.9272451582361636,0.90543691762616407,0.87513521886929779,0.83654377787666845,0.78988186122017778,0.73533988790513638,0.67300235803719866,0.60270099487662621,0.52369330429501348,0.43379767250024931,0.32607584332537104,,,,,,,,
36420,0.012713666666666667,0.94263684814940985,0,0.59830101998714857,49.998934426221197,0.22031408639276728,49.998934426217957,49.998934426217957,49.998934426218,49.998934426218064,49.998934426218192,49.998934426218298,49.99893442621849,49.998934426218632,49.998934426218838,49.998934426219073,49.998934426219321,49.998934426219655,49.998934426220316,,,,,,,,,0.94263684814940973,0.93825120909505888,0.92512926303531651,0.90337313966181176,0.87314335466788007,0.8346425878991981,0.78808878633448143,0.73367075502580492,0.67147102945519344,0.60131882501183098,0.52246793534645497,0.4327290901399749,0.32513503888315431,,,,,,,,
36480,0.012711333333333333,0.94048556353418944,0,0.59701691012619773,49.998934426220174,0.21974977535482873,49.998934426218256,49.998934426218256,49.998934426218341,49.998934426218362,49.998934426218483,49.998934426218604,49.998934426218788,49.998934426218931,49.998934426219101,49.998934426219243,49.998934426219371,49.998934426219442,49.998934426219677,,,,,,,,,0.94048556353418944,0.93611046753339389,0.92301999942966528,0.90131583743614974,0.87115775133572215,0.83274738811848426,0.78630137913477638,0.73200692016024205,0.66994458752614783,0.59994109499648529,0.52124652826568829,0.43166394593297419,0.32419697073466153,,,,,,,,
36540,0.012709,0.93834101467729092,0,0.59573682013796936,49.998934426221851,0.2191872226984819,49.998934426218547,49.998934426218568,49.99893442621859,49.998934426218653,49.998934426218717,49.998934426218817,49.998934426218952,49.998934426219073,49.998934426219243,49.998934426219442,49.99893442621962,49.998934426219904,49.998934426220636,,,,,,,,,0.93834101467729081,0.93397643017017717,0.92091734582663787,0.89926498981998737,0.86917838837483863,0.83085815882019631,0.78451962083444471,0.73034836560650995,0.66842301581691432,0.59856778972928837,0.52002906869139165,0.43060222666764736,0.3232616342705788,,,,,,,,
36600,0.012706666666666666,0.93620317967443356,0,0.59446073819248313,49.998934426223499,0.21862643409764501,49.998934426218788,49.998934426218774,49.998934426218845,49.998934426218888,49.998934426219009,49.998934426219137,49.998934426219343,49.99893442621962,49.998934426220025,49.998934426220515,49.998934426221219,49.998934426221972,49.998934426222789,,,,,,,,,0.93620317967443356,0.93184907519573812,0.91882128069809343,0.89722057574633718,0.86720524534669141,0.82897488034748312,0.78274349270502908,0.72869507372339326,0.66690629794238065,0.59719889408672211,0.51881554231062699,0.42954391985635959,0.32232902442704897,,,,,,,,
36660,0.012704333333333333,0.93407203668733696,0,0.59318865241716301,49.998934426223656,0.21806741350378364,49.99893442621913,49.998934426219172,49.998934426219208,49.99893442621935,49.998934426219463,49.99893442621967,49.998934426219947,49.998934426220295,49.99893442622065,49.998934426221055,49.998934426221531,49.998934426222057,49.998934426222824,,,,,,,,,0.93407203668733685,0.92972838086599119,0.91673178258018018,0.89518257421032921,0.86523830187228823,0.82709753310134093,0.78097297607655469,0.72704702692885426,0.66539441755874407,0.59583439293416207,0.51760593492496498,0.42848901357852681,0.32139913567006317,,,,,,,,
36720,0.012702,0.93194756394332778,0,0.59192055090823814,49.998934426219328,0.2175101635594521,49.99893442621962,49.998934426219627,49.998934426219733,49.99893442621984,49.998934426219982,49.998934426220202,49.998934426220465,49.998934426220707,49.998934426220963,49.998934426221162,49.998934426221162,49.998934426220849,49.998934426220117,,,,,,,,,0.93194756394332789,0.92761432550203904,0.9146488300729434,0.89315096426889096,0.86327753763205617,0.82522609754071352,0.77920805233742163,0.72540420769782166,0.66388735835888879,0.5944742711424752,0.51640023248789235,0.42743749634813649,0.32047196202095929,,,,,,,,
36780,0.012699666666666666,0.92982973973524141,0,0.59065642173940613,49.998934426218675,0.21695468588108058,49.998934426220075,49.998934426220096,49.998934426220131,49.998934426220231,49.998934426220309,49.998934426220423,49.998934426220515,49.998934426220586,49.998934426220607,49.998934426220593,49.998934426220501,49.998934426220259,49.998934426219613,,,,,,,,,0.92982973973524141,0.92550688749006305,0.91257240184022037,0.89112572504072141,0.86132293236598212,0.82336055418278953,0.77744870293430079,0.7237665985600642,0.66238510407041995,0.59311851360572931,0.51519842112245973,0.42638935701077857,0.31954749709327679,,,,,,,,
36840,0.012697333333333333,0.92771854242123952,0,0.58939625296877218,49.998934426221503,0.21640098126524435,49.998934426220316,49.998934426220316,49.998934426220345,49.998934426220352,49.998934426220394,49.99893442622043,49.998934426220458,49.998934426220544,49.998934426220572,49.998934426220714,49.998934426220927,49.998934426221197,49.998934426221432,,,,,,,,,0.92771854242123952,0.92340604528114811,0.91050247660948491,0.88910683570621085,0.85937446587369826,0.82150088360318152,0.77569490937176855,0.72213418209817126,0.66088763845591891,0.59176710525766119,0.5140004871254602,0.42534458466310876,0.31862573413352957,,,,,,,,
36900,0.012695000000000001,0.9256139504240215,0,0.5881400326444467,49.998934426219357,0.21584904984552034,49.998934426220416,49.99893442622043,49.998934426220458,49.998934426220451,49.998934426220501,49.998934426220515,49.998934426220593,49.998934426220593,49.998934426220636,49.998934426220586,49.99893442622043,49.99893442622016,49.998934426219741,,,,,,,,,0.9256139504240215,0.92131177739049341,0.90843903317109898,0.8870942755068032,0.85743211801400743,0.81964706643549212,0.77394665321129008,0.72050694094550893,0.65939494531453458,0.59042003108486452,0.51280641696209706,0.4243031685907161,0.3177066660629656,,,,,,,,
36960,0.012692666666666668,0.92351594223137301,0,0.58688774880906935,49.998934426215087,0.21529889120187981,49.998934426220494,49.998934426220494,49.99893442622048,49.998934426220487,49.998934426220465,49.998934426220423,49.998934426220337,49.998934426220181,49.99893442621989,49.998934426219428,49.998934426218675,49.998934426217581,49.998934426216124,,,,,,,,,0.92351594223137301,0.91922406239796628,0.90638205037887776,0.88508802374562134,0.85549586870560035,0.81779908337195972,0.77220391607119931,0.71888485778558453,0.65790700848535033,0.58907727613824579,0.51161619725903174,0.42326509822259478,0.31679028550959293,,,,,,,,
37020,0.012690333333333335,0.92142449639582347,0,0.58563938950367156,49.998934426226889,0.21475050445252439,49.998934426220373,49.99893442622038,49.998934426220345,49.998934426220274,49.998934426220153,49.998934426220018,49.99893442621989,49.998934426219748,49.998934426219812,49.998934426220096,49.99893442622092,49.998934426222469,49.998934426224885,,,,,,,,,0.92142449639582336,0.91714287894776414,0.90433150714979516,0.88308805978726157,0.85356569792694947,0.81595691516324476,0.77046667962593818,0.71726791535133705,0.65642381185088838,0.58773882554090184,0.51042981479295013,0.42223036309505108,0.31587658484115855,,,,,,,,
37080,0.012688000000000001,0.91933959153392131,0,0.58439494277088788,49.998934426221716,0.21420388832774909,49.998934426220153,49.998934426220139,49.998934426220117,49.998934426220188,49.998934426220231,49.99893442622033,49.998934426220536,49.998934426220849,49.998934426221247,49.998934426221716,49.998934426222092,49.998934426222291,49.998934426222149,,,,,,,,,0.91933959153392142,0.91506820574771075,0.90228738246332996,0.88109436305723976,0.85164158571584569,0.81412054261784683,0.76873492560505541,0.71565609642466776,0.65494533934046861,0.58640466449300355,0.50924725647776969,0.42119895282424757,0.31496555619539696,,,,,,,,
37140,0.012685666666666668,0.91726120632579367,0,0.58315439665760138,49.998934426219705,0.21365904122633372,49.998934426220373,49.998934426220409,49.998934426220437,49.998934426220529,49.998934426220636,49.998934426220764,49.998934426220877,49.998934426220991,49.998934426221055,49.998934426221062,49.998934426220842,49.998934426220544,49.998934426220082,,,,,,,,,0.91726120632579367,0.91300002156882354,0.90024965536108303,0.87910691304168964,0.84972351216913666,0.81228994660169507,0.76700863579252476,0.71404938383653849,0.65347157493346342,0.58507477827480736,0.50806850935279435,0.42017085708603291,0.31405719150491401,,,,,,,,
37200,0.012683333333333335,0.91518931951511395,0,0.58191773921725465,49.998934426222,0.21311596125956708,49.998934426220643,49.998934426220664,49.998934426220643,49.998934426220679,49.998934426220686,49.998934426220728,49.998934426220679,49.998934426220636,49.998934426220501,49.998934426220274,49.99893442622011,49.998934426220153,49.998934426220792,,,,,,,,,0.91518931951511395,0.91093830524529285,0.89821830494679633,0.8771256892874415,0.84781145744282038,0.81046510803807958,0.76528779202649655,0.71244776046763103,0.65200250266252013,0.58374915224859736,0.50689356057216184,0.41914606560066203,0.31315148251761799,,,,,,,,
37260,0.012681000000000001,0.91312390991106895,0,0.58068495851230639,49.998934426221133,0.21257464628259373,49.998934426220671,49.998934426220664,49.99893442622065,49.998934426220643,49.998934426220643,49.998934426220586,49.998934426220586,49.998934426220565,49.998934426220579,49.998934426220636,49.998934426220742,49.998934426220835,49.99893442622092,,,,,,,,,0.91312390991106906,0.90888303567645234,0.89619331038831285,0.87515067140396408,0.84590540175389706,0.80864600790924079,0.76357237620072038,0.71085120925072942,0.65053810661814371,0.58242777186158823,0.50572239739687275,0.41812456812067395,0.31224842081081744,,,,,,,,
37320,0.012678666666666668,0.91106495638412421,0,0.57945604261534867,49.998934426220565,0.21203509393982875,49.998934426220622,49.998934426220615,49.998934426220593,49.998934426220615,49.9989344262206,49.998934426220615,49.998934426220686,49.998934426220686,49.99893442622075,49.998934426220821,49.998934426220877,49.99893442622092,49.998934426220835,,,,,,,,,0.91106495638412421,0.90683419182258052,0.89417465091351256,0.87318183905947866,0.84400532537662354,0.8068326272527182,0.76186237026127557,0.70925971316874026,0.64907837094775378,0.58111062264084523,0.50455500718032109,0.41710635442190269,0.31134799781822015,,,,,,,,
37380,0.012676333333333335,0.90901243786782804,0,0.57823097961090641,49.998934426218369,0.21149730168251255,49.998934426220636,49.9989344262206,49.998934426220636,49.998934426220629,49.998934426220636,49.998934426220615,49.998934426220615,49.998934426220572,49.998934426220437,49.998934426220195,49.998934426219819,49.998934426219286,49.998934426218668,,,,,,,,,0.90901243786782815,0.9047917527067092,0.89216230581210931,0.87121917198272225,0.84211120864417666,0.80502494716283501,0.76015775620810033,0.70767325525703828,0.64762327985902157,0.57979769019444005,0.50339137736278683,0.41609141429707586,0.31045020483858043,,,,,,,,
37440,0.012674000000000001,0.90696633336090116,0,0.57700975759741202,49.998934426218995,0.21096126678658289,49.998934426220607,49.9989344262206,49.998934426220586,49.998934426220536,49.998934426220487,49.998934426220373,49.998934426220266,49.998934426220032,49.998934426219755,49.998934426219471,49.998934426219144,49.998934426218831,49.998934426218767,,,,,,,,,0.90696633336090127,0.90275569741671025,0.89015625443772273,0.86926264996497682,0.84022303195055759,0.80322294879244649,0.75845851609687998,0.70609181860624393,0.64617281762333589,0.57848896021213336,0.50223149546561408,0.41507973755015498,0.30955503304490528,,,,,,,,
37500,0.012671666666666668,0.90492662192266926,0,0.57579236468743233,49.998934426218206,0.21042698638246882,49.998934426220394,49.99893442622038,49.998934426220373,49.998934426220274,49.998934426220174,49.998934426220082,49.998934426219982,49.998934426219904,49.998934426219805,49.998934426219684,49.998934426219591,49.998934426219407,49.998934426218902,,,,,,,,,0.90492662192266926,0.90072600510076328,0.88815647620347171,0.86731225285581748,0.8383407757464999,0.80142661334907594,0.75676463203575561,0.70451538635979938,0.64472696857298994,0.57718441845870672,0.50107534908045315,0.41407131399341857,0.30866247350443526,,,,,,,,
37560,0.012669333333333335,0.90289328267496538,0,0.57457878900917747,49.998934426219243,0.20989445746504026,49.998934426220167,49.998934426220153,49.998934426220139,49.99893442622006,49.998934426220046,49.998934426219961,49.998934426219897,49.998934426219833,49.998934426219748,49.998934426219698,49.998934426219655,49.99893442621962,49.998934426219549,,,,,,,,,0.90289328267496538,0.89870265496926527,0.88616295058385308,0.86536796056493726,0.83646442054119208,0.79963592209656775,0.75507608618717159,0.70294394171636931,0.64328571710361937,0.57588405077411864,0.49992292586558273,0.41306613344450588,0.30777251718415777,,,,,,,,
37620,0.012667000000000001,0.90086629480421843,0,0.57336901870816526,49.998934426219492,0.209363676904435,49.998934426220011,49.998934426220018,49.998934426219982,49.998934426219982,49.998934426219918,49.998934426219847,49.998934426219833,49.998934426219755,49.998934426219726,49.998934426219606,49.998934426219499,49.998934426219407,49.998934426219392,,,,,,,,,0.90086629480421843,0.89668562629690374,0.8841756571168029,0.86342975306414882,0.83459394690417621,0.79785085635694153,0.75339286076998713,0.70137746793249744,0.64184904767660667,0.57458784307328259,0.4987742135420134,0.41206418572389691,0.30688515495698943,,,,,,,,
37680,0.012664666666666668,0.89884563755693869,0,0.5721630419468946,49.998934426218149,0.20883464146608693,49.998934426219904,49.998934426219904,49.998934426219883,49.998934426219861,49.99893442621984,49.998934426219797,49.998934426219783,49.998934426219726,49.998934426219641,49.998934426219591,49.998934426219456,49.998934426219272,49.998934426218767,,,,,,,,,0.89884563755693869,0.89467489841818448,0.88219457539931956,0.86149761038314598,0.83272933546129846,0.7960713975066589,0.75171493805626544,0.69981594831975025,0.6404169448152881,0.57329578133955772,0.49762919988594256,0.41106546065471794,0.30600037761625526,,,,,,,,
37740,0.012662333333333334,0.89683129024161623,0,0.57096084690617532,49.99893442621881,0.20830734781686014,49.998934426219805,49.99893442621979,49.998934426219733,49.998934426219712,49.998934426219705,49.998934426219627,49.998934426219506,49.998934426219357,49.998934426219122,49.99893442621876,49.998934426218419,49.998934426218099,49.99893442621817,,,,,,,,,0.89683129024161623,0.89267045072932216,0.8802196850893248,0.85957151261131448,0.83087056689644534,0.79429752697836509,0.75004230037321817,0.69825936624691842,0.63898939310669245,0.57200785162455492,0.49648787272637779,0.41006994806144542,0.30511817587943113,,,,,,,,
37800,0.012660000000000001,0.89482323223080384,0,0.56976242178659831,49.998934426218106,0.20778179253200976,49.998934426219634,49.998934426219627,49.998934426219598,49.99893442621952,49.998934426219449,49.998934426219336,49.998934426219229,49.99893442621913,49.99893442621908,49.998934426219073,49.998934426219158,49.998934426219193,49.998934426218817,,,,,,,,,0.89482323223080396,0.89067226269031308,0.87825096590771079,0.85765143989971027,0.82901762195346318,0.79252922626284561,0.74837493010539102,0.69670770514238256,0.63756637720323639,0.57072404004771771,0.49535021994266087,0.40907763776892214,0.30423854039240211,,,,,,,,
37860,0.012658000000000001,0.89282149557907409,0,0.56856777257020119,49.998934426220593,0.20725731436174918,49.998934426219421,49.998934426219421,49.998934426219392,49.99893442621935,49.998934426219293,49.998934426219293,49.998934426219286,49.998934426219236,49.998934426219222,49.998934426219257,49.998934426219257,49.998934426219229,49.99893442621979,,,,,,,,,0.89282149557907409,0.88868058410530104,0.87628931761897577,0.85573936475656021,0.82717395450913955,0.79077182306050109,0.74672040789325445,0.69517117605165879,0.63616114366481502,0.56946113054418002,0.49423733844474305,0.40811554966680519,0.30339967010085944,,,,,,,,
37920,0.012656000000000001,0.89082611174124637,0,0.5673769079867188,49.998934426218767,0.20673412599364149,49.998934426219328,49.998934426219364,49.998934426219307,49.998934426219321,49.998934426219328,49.998934426219307,49.998934426219328,49.998934426219293,49.998934426219236,49.998934426219044,49.99893442621859,49.998934426217915,49.998934426217566,,,,,,,,,0.89082611174124637,0.88669522729031758,0.8743338984455945,0.8538333658862276,0.82533615265343896,0.78902002015657002,0.74507117017501623,0.69363957008424892,0.63476043221760692,0.56820230952147954,0.49312808729189606,0.40715661218386784,0.30256330806337833,,,,,,,,
