time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
1499,2.5499993168708865,2.5499989500009241,2.5499973479904274,2.5499924040023338,2.5499780494228115,2.5499382078637138,2.5498328805990047,2.5495686775219664,2.5489415143107514,2.5475350317233341,2.5445581134666848,2.5386139762283815,2.5274161541923239,2.5075019703890868,2.4740297683021786,2.4207598403948083,2.3402861548448644,2.2244911150213986,2.065029172279214,1.8533492024093137,1.5789681182854736
1500,2.5499993103084311,2.5499989404489418,2.5499973261653701,2.5499923477558384,2.5499779037324259,2.5499378421317864,2.5498320038199767,2.5495666852142858,2.54893724222456,2.5475264120548426,2.544541781396509,2.5385849579351984,2.5273678550549423,2.5074267155023908,2.4739200599366042,2.4206102636748557,2.3400955452755698,2.2242643410808185,2.0647778263937075,1.8530906673948555,1.578722912387365
1501,2.5499993036915902,2.5499989308224147,2.5499973041886324,2.5499922911646058,2.5499777572600895,2.5499374746969901,2.5498311235406281,2.5495646861833436,2.5489329581650928,2.5475177727653993,2.5445254200017042,2.5385559001622084,2.5273195089965599,2.5073514133195673,2.4738103152115323,2.420460675011824,2.339904959908631,2.2240376328725784,2.0645265832090782,1.8528322573413365,1.5784778194397766
1502,2.5499992970199927,2.5499989211208667,2.5499972820593735,2.5499922342270094,2.5499776100027232,2.5499371055538482,2.5498302397520685,2.5495626804163254,2.5489286621166398,2.5475091138401798,2.5445090292754831,2.5385268029200239,2.5272711160531256,2.5072760639028662,2.4737005342048386,2.4203110744766541,2.3397143987799986,2.2238109903747096,2.0642754426407697,1.8525739721300676,1.5782328415499303
1503,2.5499992902932616,2.5499989113438146,2.5499972597767444,2.5499921769414087,2.5499774619572078,2.5499367346968027,2.5498293524452533,2.5495606679001384,2.5489243540630127,2.5475004352635939,2.5444926092099158,2.5384976662177228,2.5272226762587242,2.5072006673126066,2.4735907169928573,2.4201614621396903,2.3395238619264953,2.223584413567846,2.0640244046085559,1.8523158116471778,1.5779879822372533
1504,2.5499992835110179,2.5499989014907785,2.5499972373398925,2.5499921193061601,2.5499773131204266,2.5499363621203135,2.549828461611181,2.5495586486217836,2.5489200339882054,2.5474917370203549,2.5444761597975285,2.5384684900649646,2.5271741896480888,2.5071252236097026,2.4734808636522883,2.4200118380712738,2.3393333493844777,2.2233579024316814,2.0637734690310268,1.8520577757769729,1.5777432426835265
1505,2.5499992766728843,2.549998891561271,2.5499972147479646,2.549992061319613,2.5499771634892583,2.5499359878188281,2.5498275672408437,2.5495566225682667,2.5489157018762318,2.5474830190952233,2.5444596810309057,2.5384392744714686,2.5271256562559805,2.5070497328550188,2.4733709742597121,2.4198622023415837,2.3391428611901581,2.2231314569458513,2.0635226358269678,1.8517998644035962,1.5774986234786532
1506,2.5499992697784788,2.549998881554806,2.5499971920001014,2.5499920029801162,2.549977013060571,2.5499356117867888,2.5498266693252285,2.549554589726593,2.5489113577111202,2.5474742814729869,2.54444317290268,2.5384100194469994,2.527077076117167,2.5069741951093776,2.4732610488916018,2.4197125550206557,2.3389523973796327,2.2229050770899548,2.0632719049153594,1.8515420774110551,1.577254124998738
1507,2.5499992628274151,2.5499988714708928,2.5499971690954419,2.5499919442860071,2.5499768618312282,2.5499352340186312,2.5498257678553151,2.5495525500837699,2.5489070014769166,2.5474655241384752,2.5444266354055385,2.5383807250013684,2.5270284492664397,2.5068986104335562,2.4731510876243132,2.4195628961783706,2.3387619579888628,2.2226787628435454,2.0630212762153639,1.8512844146831129,1.5770097474772178
1508,2.5499992558193108,2.5499988613090401,2.5499971460331223,2.5499918852356247,2.5499767097980861,2.5499348545087797,2.5498248628220761,2.5495505036268065,2.5489026331576845,2.5474567470765579,2.5444100685322248,2.538351391144448,2.5269797757386079,2.5068229788882834,2.4730410905340809,2.419413225884449,2.3385715430536727,2.2224525141861249,2.0627707496463432,1.8510268761030666,1.5767654910543101
